position,length,weight
0,0.048164915,13000
5,0.082828915,12200
10,0.637530403,12200
15,1.717023578,12800
20,3.316426642,13400
25,5.420222702,14000
30,8.001810004,14250
35,11.0237595,14500
40,14.4388597,14500
45,18.19191809,15375
50,22.22216795,16250
55,26.46602955,17800
60,30.85992251,18000
65,35.34283391,18500
70,39.85840995,19772
75,44.35643512,19000
80,48.7936662,18000
85,53.13407429,17750
90,57.34860474,17500
95,61.41458875,16900
100,65.31493844,16400
105,69.03723803,16000
110,72.57281722,16600
115,75.9158649,17200
120,79.06261784,17900
125,82.01064016,17950
130,84.75819651,18000
135,87.30371399,18000
140,89.64532404,18000
145,91.78047463,17333
150,93.70560463,16667
155,95.41587575,16000
160,96.90496199,16000
165,98.16490299,16000
170,99.18603426,16000
175,99.957015,16000
180,100.4649805,16000
185,100.6958502,17000
190,100.6348208,16000
195,100.2670637,16000
200,99.57862369,16000
205,98.55748237,16000
210,97.19470647,16000
215,95.48556203,16000
220,93.43045025,15000
225,91.035527,14000
230,88.31290936,14000
235,85.28044246,14000
240,81.96107729,12500
245,78.38197327,12000
250,74.57346921,11500
255,70.56806162,10700
260,66.39949805,10200
265,62.10205019,9155
270,57.7099906,9900
275,53.25726544,10200
280,48.77733651,10600
285,44.30315745,11000
290,39.8672476,11600
295,35.50182991,12000
300,31.23900365,12000
305,27.11092678,11700
310,23.14998561,11500
315,19.3889312,11200
320,15.86096141,11000
325,12.5997263,10900
330,9.639232238,10800
335,7.013617302,11300
340,4.756768995,11800
345,2.901755342,12100
350,1.480045056,12400
355,0.520502832,12700
360,0.048164915,13000
