position,length,weight
# left,,
0,100,1000
5,100.1,1100
10,100,1150
15,100,1200
20,100,1300
25,100.3,1400
30,100.2,1500
35,100,1550
40,100,1600
45,100,1650
50,100,1700
55,100,1725
60,100,1750
65,100,1800
70,100,1850
75,100,1900
80,100,2000
85,100,2100
# top,,2300
90,100,2500
95,130,2480
100,150,2500
105,155,2500
110,160,2510
115,180,2490
120,200,2500
# Bump Up,,
125,205,2550
130,210,2650
135,220,2800
140,230,2650
145,235,2700
150,240,2670
155,245,2600
160,250,2500
# after bump up,,
161,260,2500
162,270,2500
163,280,2500
# right,,
165,280,2500
170,285,2498
175,290,2495
180,300,2500
190,300,2400
200,300.1,2000
201,300,2000
204,298,1980
207,300,1900
210,300,1800
220,300,1600
225,300.1,1500
230,300.2,1400
235,299,1300
240,300,1200
# Bottom edge,,
270,300,1000
275,295,990
280,290,1000
285,280,1000
290,270,1000
292,269,1000
295,265,1002
300,260,1000
320,250,1000
# Bump down,,
330,230,900
335,228,878
337,225,870
340,223,860
345,220,800
347,215,580
350,210,900
# bump over,,
350,200,1000
351,190,1000
352,170,1000
353,150,1000
354,130,1000
355,125,1000
356,122,1002
358,115,1000
359,105,1000
