position,length,weight
# left,,
0,100,1000
5,100.0828289,1220
10,100.6375304,1220
15,101.7170236,1280
20,103.3164266,1340
25,105.4202227,1400
30,100.2,1500
35,101.0237595,1450
40,104.4388597,1450
45,108.1919181,1537
50,102.222168,1625
55,106.4660296,1780
60,100,2000
65,105.34283391,1850
70,109.85840995,1977
75,104.35643512,1900
80,108.7936662,1800
85,103.13407429,1775
# top,,
90,100,2500
95,106.41458875, 2501
100,150,2500
105,169.03723803,2600
110,172.57281722,2660
115,175.9158649,2720
120,200,2500
125,182.01064016,2795
# Bump Up,,
130,210,2650
135,220,2800
140,230,2650
145,191.78047463,2733
150,193.70560463,2666
155,195.41587575,2600
160,250,2500
# after bump up,,
161,260,2500
162,270,2500
163,280,2500
160,296.90496199,2600
165,298.16490299,2600
170,299.18603426,2600
175,299.957015,2600
# right,,
180,300,2500
185,300.6958502,2700
190,300,2400
195,300.2670637,2600
200,300.1,2000
205,298.55748237,2600
210,300,1800
215,295.48556203,2600
220,300,1600
225,291.035527,2400
230,300.2,1400
235,285.28044246,2400
240,300,1200
240,281.96107729,2250
245,278.38197327,2200
250,274.57346921,2150
255,270.56806162,2070
260,266.39949805,2020
265,262.10205019,1915
# Bottom edge,,
270,300,1000
280,290,1000
285,280,1000
290,270,1000
300,260,1000
320,250,1000
# Bump down,,
330,230,900
345,220,800
350,210,900
# bump over,,
350,200,1000
351,190,1000
352,170,1000
353,150,1000
354,130,1000
355,125,1000
359,105,1000
