# Well ID Number: 42-477-20130-03
# Timestamp: 1545230005
# Device Serial Number: 123456789
# Sensor Serial Number: 00000003
#
position,length,weight
# left
0,100.0,1000.0
30,100.2,1500.0
60,100.0,2000.0
# top
90,100.0,2500.0
100,150.0,2500.0
120,200.0,2500.0
# Bump Up
130,210,2650
135,220,2800
140,230,2650
160,250.0,2500.0
# after bump up
161,260,2500
162,270,2500
163,280,2500
# right
180,300.0,2500.0
190,300.0,2400.0
200,300.1,2000.0
210,300.0,1800.0
220,300.0,1600.0
230,300.2,1400.0
240,300.0,1200.0
# Bottom edge
270,300.0,1000.0
280,290.0,1000.0
285,280,1000.0
290,270,1000.0
300,260.0,1000.0
320,250.0,1000.0
# Bump down
330,230,900
345,220,800
350,210,900
# bump over
350,200.0,1000.0
351,190,1000.0
352,170,1000
353,150,1000
354,130,1000
355,125,1000
359,105.0,1000.0
