# Well ID Number: 42-477-20130-03
# Timestamp: 1545230005
# Device Serial Number: 123456789
# Sensor Serial Number: 000000003
#
position,length,weight
# left
0,0,0
10,0,0.10
20,0,0.20
30,0,0.30
40,0,0.40
50,0,0.50
60,0,0.60
70,0,0.70
80,0,0.80
# top
90,0,0.90
100,10,0.90
110,20,0.90
120,30,0.90
130,40,0.90
140,50,0.90
150,60,0.90
160,70,0.90
170,80,0.90
# right
180,90,0.90
190,90,0.80
200,90,0.70
210,90,0.60
220,90,0.50
230,90,0.40
240,90,0.30
250,90,0.20
260,90,0.10
# bottom
270,90,0
280,80,0
290,70,0
300,60,0
310,50,0
320,40,0
330,30,0
340,20,0
350,10,0
360,0,0
