position,length,weight
0,104.5876971,1007.823159
3,103.6272679,1092.285962
6,103.3313049,1140.862136
9,103.8860501,1194.123694
12,100.2329687,1207.459028
15,103.612419,1309.213524
18,100.703084,1354.513154
21,103.1292369,1354.438912
24,101.915128,1467.843155
27,104.1014151,1458.958859
30,101.2504991,1516.515064
33,104.7891181,1561.484204
36,103.324334,1612.262061
39,104.4918936,1679.554048
42,104.728233,1722.007801
45,103.4706493,1834.368684
48,104.4461464,1885.939172
51,102.8064344,1875.72808
54,102.7033888,1929.461841
57,100.8008071,2040.620199
60,103.5219512,2065.835314
63,104.9147085,2122.613804
66,104.3355009,2128.010541
69,102.631671,2151.868058
72,102.6485666,2223.715174
75,101.1877906,2313.797615
78,101.608529,2353.686359
81,100.6524915,2371.308425
84,102.7321221,2509.643379
87,102.0722326,2472.454496
90,100.7546546,2538.098586
93,111.3535326,2526.219558
96,114.6913448,2516.486393
99,120.4686224,2558.614604
102,132.7284998,2578.120469
105,136.4800934,2531.777248
108,144.9309374,2600.916744
111,149.9919801,2559.807361
114,157.8813388,2576.564786
117,162.25431,2522.49392
120,166.8328938,2560.875028
123,175.2371595,2581.462662
126,182.182151,2523.314371
129,192.9225971,2532.57791
132,201.37179,2588.840304
135,204.0278795,2555.313332
138,214.2948333,2504.439524
141,217.1215701,2551.818058
144,224.9167719,2533.652084
147,234.8306294,2541.408498
150,240.3529619,2565.026978
153,245.2760898,2624.063676
156,246.9401593,2506.092739
159,254.4181816,2555.016543
162,271.1385733,2562.7007
165,274.4314587,2552.996213
168,274.3411665,2542.040507
171,293.7363458,2538.174439
174,298.8061839,2543.011415
177,294.9493786,2507.829772
180,313.6499969,2529.486872
183,312.2988307,2565.016955
186,303.5509499,2407.965841
189,308.042395,2429.133042
192,300.8636576,2380.549643
195,304.2689755,2316.48316
198,302.2608879,2304.613732
201,308.4798738,2249.73789
204,305.5193352,2114.524506
207,314.684875,2070.167816
210,309.9623891,2035.304192
213,308.4095951,2001.422654
216,306.6761112,1904.687694
219,301.9482052,1902.953377
222,300.0684955,1884.502927
225,300.2798734,1766.106642
228,314.8521322,1784.590514
231,311.0881601,1678.579196
234,309.0932261,1656.850539
237,305.8393799,1559.695595
240,308.8606011,1563.395305
243,307.3979872,1511.555709
246,303.4420975,1440.647053
249,307.9458954,1388.795907
252,312.214728,1307.226816
255,311.4178765,1265.928881
258,305.363873,1205.723413
261,301.1867046,1157.338702
264,307.5017786,1142.326214
267,306.7463069,1072.646208
180,313.2833755,1008.391307
183,293.5256263,1003.064264
186,296.0502226,1030.825904
189,293.140099,1041.443266
192,273.9808141,1023.274191
195,270.1606504,1037.42484
198,269.1978815,1044.416974
201,257.2511255,1023.210993
204,255.4608411,1032.646114
207,245.0250612,1039.168578
210,240.6755742,1048.718958
213,228.1621172,1034.013671
216,224.6027685,1009.606172
219,215.1479951,1036.724278
222,208.5464028,1007.211298
225,205.5848535,1007.873557
228,195.1388019,1028.675829
231,190.3899559,1035.947273
234,186.2021974,1000.170803
237,180.6256872,1026.465316
240,167.4589165,1001.826342
243,163.3625332,1018.793284
246,153.3848003,1009.500452
249,147.6877927,1004.461912
252,144.232805,1029.861315
255,137.3839101,1026.721112
258,127.658978,1038.402789
261,120.996463,1019.187812
264,114.5959288,1045.628426
267,110.62071,1009.243734
