position,length,weight
0,104.1321848,1005.121558
3,108.0551328,1102.07067
6,117.1893401,1148.47344
9,122.4296002,1168.385923
12,129.7217405,1239.414679
15,134.2640045,1275.746912
18,139.101395,1328.350387
21,142.4442025,1392.09237
24,151.3483975,1425.29634
27,157.0044147,1463.063705
30,165.7430153,1515.021855
33,172.0009759,1554.95132
36,179.3025968,1663.412302
39,183.7200968,1713.512054
42,187.5412523,1758.378057
45,189.6214762,1812.380393
48,200.6170817,1856.871909
51,210.8847347,1911.080307
54,215.471014,1979.25413
57,221.7699562,1959.373819
60,226.5684266,2008.060322
63,236.2758665,2134.29713
66,231.0867754,2199.296134
69,239.6581436,2244.885148
72,246.2721789,2273.410482
75,257.773143,2321.210505
78,266.4086856,2378.994832
81,264.0522495,2415.618955
84,273.6606925,2460.706116
87,277.8181196,2556.023167
90,281.065803,2605.807041
93,294.6062446,2548.445356
96,300.8377596,2564.017635
99,306.249181,2616.261379
102,314.4057191,2508.266187
105,319.7647198,2569.339565
108,330.0548555,2508.952021
111,338.9257617,2624.90344
114,343.3869629,2573.230492
117,346.6516328,2624.824869
120,352.5579081,2615.644376
123,353.5792782,2511.691842
126,364.4515256,2551.168635
129,381.8114963,2543.075726
132,377.02043,2601.343607
135,384.9179421,2606.796689
138,396.337388,2509.08649
141,398.9366345,2615.279179
144,409.2468666,2599.440206
147,408.5875516,2542.589719
150,413.5502661,2540.406743
153,420.2617366,2585.537144
156,427.04115,2602.871114
159,440.7832913,2598.362168
162,445.2531175,2611.982448
165,461.3425091,2565.245734
168,463.3888269,2578.917009
171,462.1101848,2579.63579
174,488.3961426,2513.716635
177,479.0982909,2541.326891
180,493.2137112,2578.293157
183,489.5421158,2466.023708
186,485.3483248,2465.654743
189,476.0095906,2464.969848
192,463.5687123,2407.238024
195,459.0961766,2286.271326
198,454.4931021,2212.836099
201,437.6764443,2178.808089
204,443.5975795,2170.014453
207,438.2098142,2141.298326
210,429.4504645,2084.14413
213,432.4359908,1993.776125
216,422.278047,1984.450561
219,408.3821238,1860.629275
222,396.922116,1885.517086
225,408.6256876,1771.740786
228,391.744443,1781.688131
231,392.0624338,1694.455141
234,384.4063104,1637.794678
237,372.0413933,1606.523812
240,369.3913307,1554.261147
243,367.1500671,1452.962922
246,362.0316352,1465.144834
249,357.6014736,1367.222148
252,337.0680198,1320.968483
255,341.2700104,1257.343704
258,338.1773157,1235.380236
261,324.2888721,1180.776872
264,325.4550844,1117.205045
267,308.7230835,1081.898687
180,308.0964319,1022.635419
183,302.7171975,1002.720332
186,297.0522994,1004.932063
189,280.3145246,1037.257571
192,282.6799272,1011.231348
195,271.4556718,1009.90544
198,268.0573687,1040.983097
201,257.8344623,1006.480638
204,247.0748179,1045.651803
207,244.9275499,1013.164313
210,234.5425032,1028.168235
213,229.5316087,1000.391247
216,228.076056,1045.298911
219,222.4891346,1045.873865
222,212.1560373,1030.738991
225,201.7846648,1042.166749
228,196.8365982,1049.119718
231,186.718089,1044.991643
234,183.4420608,1022.900606
237,178.0000222,1021.307978
240,167.7829005,1038.440119
243,160.2971229,1020.776728
246,159.9960232,1042.266788
249,147.7095912,1041.620762
252,146.8889313,1032.231941
255,135.9304441,1010.710013
258,130.9782815,1019.182553
261,123.7192258,1037.627338
264,118.5855186,1027.238698
267,111.9822507,1005.390255
