# Well ID Number:  42-477-20130-13
# Timestamp:  1545230005
# Device Serial Number: 123456789
# Sensor Serial Numbers: [00000013,00000014]
#
position,length,weight
0,-0.16129,12.442
0.14815,-0.16129,12.481
0.2963,-0.16129,12.519
0.44444,-0.16129,12.558
0.59259,-0.16129,12.597
0.74074,-0.16129,12.636
0.88889,-0.16129,12.674
1.037,0,12.713
1.1852,0,12.752
1.3333,0.16129,12.791
1.4815,0.16129,12.829
1.6296,0.16129,12.868
1.7778,0.16129,12.907
1.9259,0.32258,12.907
2.0741,0.32258,12.868
2.2222,0.32258,12.829
2.3704,0.32258,12.791
2.5185,0.16129,12.752
2.6667,0.16129,12.713
2.8148,0,12.674
2.963,0,12.636
3.1111,0,12.597
3.2593,0,12.558
3.4074,0,12.519
3.5556,0,12.481
3.7037,0,12.442
3.8519,0.16129,12.403
4,0.16129,12.364
4.1481,0.16129,12.326
4.2963,0.32258,12.287
4.4444,0.32258,12.248
4.5926,0.32258,12.209
4.7407,0.32258,12.171
4.8889,0.32258,12.132
5.037,0.32258,12.093
5.1852,0.32258,12.054
5.3333,0.32258,12.016
5.4815,0.32258,11.977
5.6296,0.32258,11.938
5.7778,0.48387,11.899
5.9259,0.64516,11.938
6.0741,0.64516,11.977
6.2222,0.64516,12.016
6.3704,0.64516,12.054
6.5185,0.64516,12.093
6.6667,0.64516,12.132
6.8148,0.64516,12.171
6.963,0.80645,12.209
7.1111,0.96774,12.248
7.2593,0.96774,12.287
7.4074,1.129,12.326
7.5556,1.129,12.364
7.7037,1.2903,12.403
7.8519,1.4516,12.442
8,1.6129,12.442
8.1481,1.7742,12.481
8.2963,1.9355,12.519
8.4444,2.0968,12.558
8.5926,2.2581,12.597
8.7407,2.4194,12.597
8.8889,2.5806,12.597
9.037,2.7419,12.597
9.1852,2.9032,12.636
9.3333,3.0645,12.636
9.4815,3.2258,12.674
9.6296,3.3871,12.674
9.7778,3.5484,12.713
9.9259,3.7097,12.713
10.074,3.871,12.713
10.222,4.0323,12.713
10.37,4.1935,12.752
10.519,4.3548,12.791
10.667,4.5161,12.829
10.815,4.6774,12.829
10.963,4.8387,12.868
11.111,5,12.907
11.259,5.1613,12.907
11.407,5.3226,12.907
11.556,5.4839,12.907
11.704,5.6452,12.907
11.852,5.8065,12.907
12,5.9677,12.907
12.148,6.129,12.907
12.296,6.2903,12.907
12.444,6.4516,12.907
12.593,6.6129,12.907
12.741,6.7742,12.907
12.889,6.9355,12.907
13.037,7.0968,12.907
13.185,7.2581,12.907
13.333,7.4194,12.907
13.481,7.5806,12.907
13.63,7.7419,12.907
13.778,7.9032,12.907
13.926,8.0645,12.907
14.074,8.2258,12.907
14.222,8.3871,12.907
14.37,8.5484,12.907
14.519,8.7097,12.907
