position,length,weight
0,102.158215,1002.95091
3,103.3726249,1063.147271
6,103.7553789,1148.110874
9,101.0691874,1164.530329
12,102.656281,1217.494758
15,102.1556034,1309.453524
18,101.3399392,1323.677245
21,101.3526087,1385.81101
24,101.8784001,1444.667718
27,100.6216121,1478.702466
30,101.6664912,1511.553414
33,100.5112121,1564.583183
36,102.8185734,1624.729857
39,103.4222469,1719.424764
42,100.1461922,1728.049087
45,101.5017291,1757.873884
48,102.0142268,1817.369399
51,100.3631592,1863.191217
54,102.779962,1987.427524
57,101.1402837,1952.389512
60,102.3341471,2005.657051
63,100.6199127,2057.000146
66,101.9823118,2178.36192
69,104.4817285,2220.226724
72,100.1437304,2245.923747
75,100.8766672,2358.038152
78,104.474177,2376.465613
81,103.4495288,2351.616035
84,100.1388414,2485.91109
87,104.5558387,2496.020253
90,104.8519502,2505.700088
93,107.6900844,2514.766215
96,116.306935,2622.870321
99,122.3228113,2556.459592
102,127.5840593,2559.845791
105,135.1734026,2521.237996
108,141.0688672,2595.414054
111,147.1878884,2574.834425
114,155.492467,2524.037218
117,166.9944323,2612.745922
120,167.5625724,2587.482288
123,177.0829602,2544.871638
126,181.6024774,2565.134656
129,194.9240246,2540.014288
132,193.9425066,2577.577688
135,200.3166402,2558.676578
138,207.4045277,2582.456173
141,216.6340054,2563.063034
144,222.2271205,2595.458199
147,235.4178187,2511.613547
150,235.4368429,2521.640858
153,248.6754871,2546.226355
156,250.0337589,2597.47664
159,255.24185,2542.240315
162,263.5996473,2596.340081
165,271.4436285,2552.331039
168,281.4170863,2555.766347
171,291.1232685,2556.423297
174,296.3248571,2612.269352
177,303.6475244,2574.879921
180,313.0278078,2522.84449
183,300.5873493,2460.804242
186,309.4868142,2401.65144
189,310.8360767,2363.741015
192,310.5598579,2336.27232
195,311.5019365,2298.248329
198,313.6157671,2287.672332
201,306.7702268,2222.915551
204,310.3916557,2182.344805
207,300.5889041,2124.498001
210,307.1084184,2006.288999
213,301.2071494,2016.89246
216,300.1823112,1949.485956
219,314.176711,1925.290175
222,313.922847,1852.611578
225,313.2423574,1798.84835
228,312.5027031,1735.89944
231,303.6471094,1700.6731
234,310.6009615,1604.376695
237,303.0077785,1557.505157
240,301.1837176,1522.03197
243,304.2862559,1473.822303
246,308.3653103,1412.733404
249,310.6415282,1388.408722
252,311.9681579,1339.668979
255,314.1413664,1299.750499
258,309.688376,1233.666132
261,311.2429374,1199.221066
264,305.2125499,1121.032251
267,301.3430824,1088.39468
180,304.2394724,1000.910381
183,300.4005669,1043.586762
186,293.5040893,1020.970902
189,291.667371,1010.742315
192,286.7007177,1039.236487
195,268.4992599,1021.586499
198,266.8936494,1005.741066
201,265.5434958,1029.890611
204,257.3853658,1014.131568
207,247.4365514,1008.994401
210,244.920714,1031.761091
213,232.741112,1026.622347
216,228.1040481,1002.35786
219,216.554282,1003.359414
222,208.3688053,1018.558741
225,202.2465034,1037.404825
228,199.7981635,1041.348518
231,188.5457997,1021.255715
234,184.6455431,1030.902265
237,179.3831368,1016.503465
240,172.0216718,1006.211363
243,166.3508719,1027.622307
246,155.1742138,1040.779376
249,151.5454293,1008.455632
252,146.0267457,1044.2995
255,138.6052333,1002.203002
258,132.0556841,1005.680686
261,120.5057045,1001.516211
264,118.0744955,1047.881407
267,109.8638245,1040.842154
