position,length,weight
0,103.0100179,1039.136649
3,106.2777347,1097.806262
6,107.8195652,1118.181526
9,106.2643911,1186.499652
12,110.1664117,1233.571757
15,110.1379494,1282.522783
18,111.6056679,1356.46591
21,115.8767322,1360.139773
24,116.3048158,1463.319982
27,117.5916285,1515.695195
30,123.9853745,1511.57838
33,122.5792112,1566.213618
36,126.8854878,1677.712202
39,126.3498466,1675.448152
42,130.9479471,1773.629787
45,131.9385117,1802.798226
48,135.1702333,1877.406132
51,136.2139305,1927.160738
54,139.4665105,1940.885725
57,141.4655088,1987.89982
60,141.2591767,2054.740027
63,146.1756259,2121.489766
66,146.1655633,2127.545784
69,146.1005163,2193.934507
72,152.9577274,2213.291785
75,148.6415369,2338.963691
78,157.1353342,2338.379901
81,157.6436298,2386.825448
84,159.4747815,2423.026307
87,156.9497529,2486.493539
90,159.1226852,2614.183264
93,171.0658134,2613.751012
96,171.5362443,2501.479122
99,185.7886578,2615.559889
102,193.0481313,2588.794514
105,192.8103457,2610.12969
108,200.5952492,2624.111815
111,213.7340133,2556.69939
114,221.1592785,2509.820191
117,220.7227107,2504.26763
120,235.416065,2520.112123
123,234.4143501,2562.548913
126,241.6278916,2567.823919
129,253.0235856,2612.331951
132,263.1958315,2527.397979
135,267.2333395,2533.227551
138,275.8061973,2607.897059
141,274.9089372,2616.480406
144,286.3182414,2617.494768
147,296.0044601,2563.728437
150,304.6731513,2623.849806
153,301.7352138,2533.191094
156,319.1662877,2566.393632
159,320.1217722,2509.950745
162,321.39974,2573.037042
165,329.7855207,2558.056009
168,331.736328,2604.401015
171,346.4101753,2520.688691
174,347.3387278,2551.187572
177,367.7112366,2565.27751
180,373.2672609,2520.077066
183,363.1787801,2532.301786
186,361.8018339,2421.759864
189,369.3559944,2393.185607
192,361.8144503,2351.076508
195,363.8988238,2315.810294
198,350.801449,2233.624913
201,345.7530377,2164.16529
204,344.4218547,2147.365226
207,347.498537,2146.538332
210,340.3314538,2056.847965
213,340.9185478,1973.648806
216,342.8596203,1900.689709
219,343.8599233,1916.34536
222,343.9030242,1852.617795
225,340.2697874,1820.922392
228,328.5340969,1710.972008
231,325.4840722,1712.550019
234,332.0833972,1609.150359
237,322.6002679,1571.491516
240,320.8467917,1568.26783
243,331.1553262,1462.797495
246,326.0029258,1423.21174
249,328.654876,1350.142726
252,326.7838161,1311.46275
255,320.2935679,1256.079088
258,320.8426235,1232.987754
261,311.0613211,1154.321279
264,308.0683797,1110.35182
267,311.8614434,1053.145247
180,306.0611428,1020.413127
183,294.4233774,1025.934519
186,290.2102812,1005.74431
189,293.5965203,1013.632146
192,286.0023551,1043.656545
195,275.2553241,1009.122705
198,272.8410365,1000.785015
201,264.2156899,1041.905642
204,256.3690137,1028.243476
207,244.7472791,1035.66213
210,239.964122,1025.642563
213,235.2775826,1001.670051
216,220.5470511,1004.110081
219,219.2396155,1017.61114
222,206.7044763,1002.000593
225,203.9757437,1025.099373
228,194.7465808,1036.128332
231,195.888471,1020.887836
234,186.3777822,1029.969795
237,180.9155845,1021.505644
240,173.20407,1048.577782
243,165.6819256,1048.263066
246,153.9273176,1037.899809
249,146.7264421,1026.534313
252,146.1093513,1011.298423
255,134.6248133,1015.589006
258,127.796987,1049.195942
261,125.2348098,1035.590668
264,114.8050462,1004.695478
267,110.3176187,1002.698204
